family,estimator,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
F,low_epe_wrong_rank,6000,total_flow,0.0,1.0,0.03137274149147692,0.9039193493424281,0.16050961895040497,0.027897527085603016
F,low_epe_wrong_rank,6000,oracle_effect,1.0,0.0,0.935292090833905,0.0,0.16050961895040497,0.5129819054745681
F,higher_epe_correct_rank,6001,causal_residual,1.0,0.0,0.9052491497870209,0.024385407140714212,0.15167864672167114,0.5773722587816711
F,higher_epe_correct_rank,6001,oracle_effect,1.0,0.0,0.9296345569277352,0.0,0.15167864672167114,0.5132551421303523
F,passive_noise_only,6002,total_flow,0.0,1.0,0.02575778218424908,0.9090065920034057,0.15744660944372818,0.027788320993078017
F,passive_noise_only,6002,oracle_effect,1.0,0.0,0.9347643741876548,0.0,0.15744660944372818,0.7561417573065673
F,effect_noise_only,6003,causal_residual,0.9964285714285714,0.002857142857142857,0.8996519144360964,0.033265651488288035,0.15552454514364475,0.3565043088011643
F,effect_noise_only,6003,oracle_effect,1.0,0.0,0.9329175659243845,0.0,0.15552454514364475,0.2689495397822777
F,low_epe_wrong_rank,6020,total_flow,0.0,1.0,0.03154739421205746,0.898483120562853,0.15265613978291817,0.027905979888178983
F,low_epe_wrong_rank,6020,oracle_effect,1.0,0.0,0.9300305147749105,0.0,0.15265613978291817,0.512885768926871
F,higher_epe_correct_rank,6021,causal_residual,1.0,0.0,0.912405986760112,0.025031953333858974,0.15903320330056508,0.5772985622088994
F,higher_epe_correct_rank,6021,oracle_effect,1.0,0.0,0.9374379400939711,0.0,0.15903320330056508,0.5125638200334627
F,passive_noise_only,6022,total_flow,0.0,1.0,0.022673107585345516,0.9083889366101098,0.15421235864134814,0.027905616462160086
F,passive_noise_only,6022,oracle_effect,1.0,0.0,0.9310620441954552,0.0,0.15421235864134814,0.7570313180553135
F,effect_noise_only,6023,causal_residual,0.9985714285714286,0.0,0.9036192005212725,0.03202194673788248,0.15778631987406946,0.3569920078691363
F,effect_noise_only,6023,oracle_effect,1.0,0.0,0.935641147259155,0.0,0.15778631987406946,0.2691038124549756
F,low_epe_wrong_rank,6040,total_flow,0.0,1.0,0.03388863250013569,0.9036264399292473,0.1574670768635163,0.02803816693679343
F,low_epe_wrong_rank,6040,oracle_effect,1.0,0.0,0.937515072429383,0.0,0.1574670768635163,0.5121972123960737
F,higher_epe_correct_rank,6041,causal_residual,1.0,0.0,0.9051195794119444,0.026058588339904223,0.15583500573391887,0.5770174162556625
F,higher_epe_correct_rank,6041,oracle_effect,1.0,0.0,0.9311781677518486,0.0,0.15583500573391887,0.5125867829192693
F,passive_noise_only,6042,total_flow,0.0,1.0,0.021748738597926177,0.9138784024490445,0.1575029901181327,0.027906348862725073
F,passive_noise_only,6042,oracle_effect,1.0,0.0,0.9356271410469706,0.0,0.1575029901181327,0.7580752580639932
F,effect_noise_only,6043,causal_residual,0.9971428571428571,0.0007142857142857143,0.898477631255314,0.03255144397213788,0.14850377398986053,0.35592441566703253
F,effect_noise_only,6043,oracle_effect,1.0,0.0,0.9310290752274518,0.0,0.14850377398986053,0.2692494550214896
F,low_epe_wrong_rank,6060,total_flow,0.0,1.0,0.03490781434015189,0.9005840873857895,0.15992283954019698,0.027865226466418876
F,low_epe_wrong_rank,6060,oracle_effect,1.0,0.0,0.9354919017259414,0.0,0.15992283954019698,0.5146244133919586
F,higher_epe_correct_rank,6061,causal_residual,1.0,0.0,0.9069925163943179,0.02589901108215087,0.15413822750080644,0.5776114587807701
F,higher_epe_correct_rank,6061,oracle_effect,1.0,0.0,0.9328915274764686,0.0,0.15413822750080644,0.5135964678551527
F,passive_noise_only,6062,total_flow,0.0,1.0,0.026026479685404957,0.9073420198988573,0.15221723560042494,0.028024034777150514
F,passive_noise_only,6062,oracle_effect,1.0,0.0,0.9333684995842623,0.0,0.15221723560042494,0.7566560897715314
F,effect_noise_only,6063,causal_residual,0.9992857142857143,0.0,0.8982627553851343,0.03288959926964387,0.15702243252365805,0.35707818576534406
F,effect_noise_only,6063,oracle_effect,1.0,0.0,0.9311523546547781,0.0,0.15702243252365805,0.26998066317533403
F,low_epe_wrong_rank,6080,total_flow,0.0,1.0,0.03289561121322263,0.8977793263101089,0.15504826191269058,0.027931126938499036
F,low_epe_wrong_rank,6080,oracle_effect,1.0,0.0,0.9306749375233317,0.0,0.15504826191269058,0.5126052578017759
F,higher_epe_correct_rank,6081,causal_residual,1.0,0.0,0.9069978670864689,0.024658403128002482,0.15083181613112104,0.5775316983375659
F,higher_epe_correct_rank,6081,oracle_effect,1.0,0.0,0.9316562702144714,0.0,0.15083181613112104,0.5128366103379507
F,passive_noise_only,6082,total_flow,0.0,1.0,0.02570683495878749,0.9090927286524084,0.15505484255848678,0.028040641142018378
F,passive_noise_only,6082,oracle_effect,1.0,0.0,0.934799563611196,0.0,0.15505484255848678,0.75695929994732
F,effect_noise_only,6083,causal_residual,1.0,0.0,0.902875277493205,0.031008842293984904,0.1577683690162017,0.35682189448616736
F,effect_noise_only,6083,oracle_effect,1.0,0.0,0.9338841197871898,0.0,0.1577683690162017,0.2694430944351165
F,low_epe_wrong_rank,6100,total_flow,0.0,1.0,0.0347705571639249,0.9020280847183285,0.1596848352919555,0.02801652990096409
F,low_epe_wrong_rank,6100,oracle_effect,1.0,0.0,0.9367986418822534,0.0,0.1596848352919555,0.5133605872428842
F,higher_epe_correct_rank,6101,causal_residual,1.0,0.0,0.9106801269354643,0.02340180663547872,0.1545763574276186,0.5777972694957891
F,higher_epe_correct_rank,6101,oracle_effect,1.0,0.0,0.934081933570943,0.0,0.1545763574276186,0.5134871664377753
F,passive_noise_only,6102,total_flow,0.0,1.0,0.027193584718008677,0.9050065241766689,0.15578801008410745,0.0279289678756616
F,passive_noise_only,6102,oracle_effect,1.0,0.0,0.9322001088946776,0.0,0.15578801008410745,0.7553431975595651
F,effect_noise_only,6103,causal_residual,0.9985714285714286,0.0,0.9026406476400494,0.03141617869609908,0.1599335123068178,0.3558767910232701
F,effect_noise_only,6103,oracle_effect,1.0,0.0,0.9340568263361485,0.0,0.1599335123068178,0.26921272411290925
F,low_epe_wrong_rank,6120,total_flow,0.0,1.0,0.03593532370148213,0.8970956041776131,0.15620709649278464,0.027951054583610236
F,low_epe_wrong_rank,6120,oracle_effect,1.0,0.0,0.9330309278790953,0.0,0.15620709649278464,0.5126954108074908
F,higher_epe_correct_rank,6121,causal_residual,1.0,0.0,0.9117488941869504,0.022412561729724462,0.15905693862109513,0.5776730377492186
F,higher_epe_correct_rank,6121,oracle_effect,1.0,0.0,0.9341614559166749,0.0,0.15905693862109513,0.513644068952452
F,passive_noise_only,6122,total_flow,0.0,1.0,0.02386481630800346,0.9112125264063257,0.15667370143847767,0.02786599122144087
F,passive_noise_only,6122,oracle_effect,1.0,0.0,0.9350773427143291,0.0,0.15667370143847767,0.7588389135109942
F,effect_noise_only,6123,causal_residual,0.9964285714285714,0.002142857142857143,0.8950041422209983,0.0374498380126598,0.1557988051952126,0.3556757830093896
F,effect_noise_only,6123,oracle_effect,1.0,0.0,0.932453980233658,0.0,0.1557988051952126,0.2690726965130474
F,low_epe_wrong_rank,6140,total_flow,0.0,1.0,0.034107767612383454,0.8972216171590617,0.16051270043446883,0.027916532469826342
F,low_epe_wrong_rank,6140,oracle_effect,1.0,0.0,0.931329384771445,0.0,0.16051270043446883,0.5136360558753975
F,higher_epe_correct_rank,6141,causal_residual,1.0,0.0,0.9084018031524039,0.024885782706414717,0.15750417722198296,0.5785571838758033
F,higher_epe_correct_rank,6141,oracle_effect,1.0,0.0,0.9332875858588184,0.0,0.15750417722198296,0.513940161163332
F,passive_noise_only,6142,total_flow,0.0,1.0,0.02186875210772922,0.9114046550322789,0.15949441750780394,0.028004939900623426
F,passive_noise_only,6142,oracle_effect,1.0,0.0,0.933273407140008,0.0,0.15949441750780394,0.7563304282086334
F,effect_noise_only,6143,causal_residual,0.9985714285714286,0.0014285714285714286,0.8971220370516544,0.03161350405403285,0.15188028691901403,0.3568980004861517
F,effect_noise_only,6143,oracle_effect,1.0,0.0,0.9287355411056871,0.0,0.15188028691901403,0.26961511701007873
F,low_epe_wrong_rank,6160,total_flow,0.0,1.0,0.03389844075734822,0.9043834600268955,0.15966106976431205,0.027935528139985878
F,low_epe_wrong_rank,6160,oracle_effect,1.0,0.0,0.9382819007842438,0.0,0.15966106976431205,0.5122211315154881
F,higher_epe_correct_rank,6161,causal_residual,1.0,0.0,0.9075989636742757,0.02583770553640324,0.15555535197257322,0.5774603135444201
F,higher_epe_correct_rank,6161,oracle_effect,1.0,0.0,0.9334366692106791,0.0,0.15555535197257322,0.5138730791223557
F,passive_noise_only,6162,total_flow,0.0,1.0,0.028121722148212243,0.9066752206982303,0.15293560553874502,0.02792606430204124
F,passive_noise_only,6162,oracle_effect,1.0,0.0,0.9347969428464424,0.0,0.15293560553874502,0.7592805679610376
F,effect_noise_only,6163,causal_residual,0.9985714285714286,0.0007142857142857143,0.8974225623635464,0.03379406701888337,0.15238447713647485,0.35721270968788554
F,effect_noise_only,6163,oracle_effect,1.0,0.0,0.9312166293824297,0.0,0.15238447713647485,0.26915973672366633
F,low_epe_wrong_rank,6180,total_flow,0.0,1.0,0.03428934451322005,0.9020918113562503,0.15879328283041794,0.02786044350562133
F,low_epe_wrong_rank,6180,oracle_effect,1.0,0.0,0.9363811558694703,0.0,0.15879328283041794,0.5123387617169407
F,higher_epe_correct_rank,6181,causal_residual,1.0,0.0,0.9065827060628573,0.02178826376260905,0.1518769768087687,0.5788968691214241
F,higher_epe_correct_rank,6181,oracle_effect,1.0,0.0,0.9283709698254664,0.0,0.1518769768087687,0.5145424514266492
F,passive_noise_only,6182,total_flow,0.0,1.0,0.02467134621420115,0.9118638821450383,0.1558182198188939,0.028141799333769767
F,passive_noise_only,6182,oracle_effect,1.0,0.0,0.9365352283592395,0.0,0.1558182198188939,0.7568883185527856
F,effect_noise_only,6183,causal_residual,0.9978571428571429,0.0007142857142857143,0.8953685456905802,0.03606808718134807,0.15406594958683348,0.3555381096319525
F,effect_noise_only,6183,oracle_effect,1.0,0.0,0.9314366328719282,0.0,0.15406594958683348,0.26885952398282775
F,low_epe_wrong_rank,6200,total_flow,0.0,1.0,0.0350061524634525,0.8986842968018934,0.15325647606077314,0.02789271075758578
F,low_epe_wrong_rank,6200,oracle_effect,1.0,0.0,0.9336904492653461,0.0,0.15325647606077314,0.5121715028719798
F,higher_epe_correct_rank,6201,causal_residual,0.9992857142857143,0.0007142857142857143,0.9041370500625576,0.025118079063555822,0.14985913274510373,0.5776251888014453
F,higher_epe_correct_rank,6201,oracle_effect,1.0,0.0,0.9292551291261134,0.0,0.14985913274510373,0.5127227032889542
F,passive_noise_only,6202,total_flow,0.0,1.0,0.02518546087327579,0.9107947776637079,0.16091956318586204,0.027952529691927342
F,passive_noise_only,6202,oracle_effect,1.0,0.0,0.9359802385369836,0.0,0.16091956318586204,0.757635134137784
F,effect_noise_only,6203,causal_residual,0.9985714285714286,0.0,0.905262907353245,0.031992286119546146,0.1567578752597421,0.35611915672961375
F,effect_noise_only,6203,oracle_effect,1.0,0.0,0.9372551934727912,0.0,0.1567578752597421,0.2694534882731385
F,low_epe_wrong_rank,6220,total_flow,0.0,1.0,0.03644255002628321,0.8996523593595515,0.16122516527796035,0.027825161928385425
F,low_epe_wrong_rank,6220,oracle_effect,1.0,0.0,0.9360949093858345,0.0,0.16122516527796035,0.5115548788590824
F,higher_epe_correct_rank,6221,causal_residual,1.0,0.0,0.9071966228223263,0.024605802341472114,0.15567574715776533,0.5772918440176131
F,higher_epe_correct_rank,6221,oracle_effect,1.0,0.0,0.9318024251637983,0.0,0.15567574715776533,0.513508511667111
F,passive_noise_only,6222,total_flow,0.0,1.0,0.02475202449982357,0.9089276488377043,0.1572660069194459,0.027824786901503543
F,passive_noise_only,6222,oracle_effect,1.0,0.0,0.9336796733375279,0.0,0.1572660069194459,0.7561287324342976
F,effect_noise_only,6223,causal_residual,0.9992857142857143,0.0007142857142857143,0.9012261346207245,0.0312215008930101,0.15780097730955864,0.35544647176495753
F,effect_noise_only,6223,oracle_effect,1.0,0.0,0.9324476355137347,0.0,0.15780097730955864,0.2697478271039201
