family,estimator,method,n,success_rate_mean,success_rate_se,distractor_rate_mean,distractor_rate_se,mean_progress_mean,mean_progress_se,regret_mean,regret_se,ranking_margin_mean,ranking_margin_se,endpoint_error_mean,endpoint_error_se
F,effect_noise_only,causal_residual,12,0.9982738095238095,0.00032254895326463815,0.0007738095238095238,0.0002704003841698915,0.8997444796693185,0.000967457515142197,0.03294107881145972,0.0005748370339016389,0.15543561035509065,0.0009255463359501081,0.3563406529101721,0.00018710075704162407
F,effect_noise_only,oracle_effect,12,1.0,0.0,0.0,0.0,0.9326855584807782,0.0006600786963913451,0.0,0.0,0.15543561035509065,0.0009255463359501081,0.26932063988239846,9.687997845001892e-05
F,higher_epe_correct_rank,causal_residual,12,0.9999404761904761,5.9523809523805614e-05,5.9523809523809524e-05,5.952380952380953e-05,0.9077592721947249,0.000757471357604166,0.024506947066690748,0.00038881608165269133,0.15463513177858254,0.0008892036844399328,0.5776777584141902,0.00015501226101720625
F,higher_epe_correct_rank,oracle_effect,12,1.0,0.0,0.0,0.0,0.9322662192614158,0.0007249653465019953,0.0,0.0,0.15463513177858254,0.0008892036844399328,0.5133797471112348,0.0001760473979168247
F,low_epe_wrong_rank,oracle_effect,12,1.0,0.0,0.0,0.0,0.9345509905937633,0.0007968379598988017,0.0,0.0,0.1579120469335333,0.000853310284784281,0.5127727405733761,0.00023482168916754076
F,low_epe_wrong_rank,total_flow,12,0.0,0.0,1.0,0.0,0.03408852749959492,0.00044639294383536413,0.9004624630941683,0.0007747421507099113,0.1579120469335333,0.000853310284784281,0.02791966571678937,1.775445368972412e-05
F,passive_noise_only,oracle_effect,12,1.0,0.0,0.0,0.0,0.9342637137045622,0.0004612373262613579,0.0,0.0,0.15627746340462137,0.0007269921302657643,0.7571090846258187,0.0003350912092476174
F,passive_noise_only,total_flow,12,0.0,0.0,1.0,0.0,0.024797554156747278,0.0005738958211151659,0.909466159547815,0.0007165810114930054,0.15627746340462137,0.0007269921302657643,0.027942503455341657,2.84179903840183e-05
