family,setting,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
G,main,7012,random_noop_residual,0.0,1.0,0.025319963271285564,0.9054480783816489,0.15769638534305952,0.5054451890329967
G,main,7012,attention_contact,0.0,1.0,0.0325404775989163,0.898227564054018,0.15769638534305952,0.08539009963645777
G,main,7012,oracle_effect,1.0,0.0,0.9307680416529345,0.0,0.15769638534305952,0.46029198088391765
G,main,7013,total_flow,0.0,1.0,0.034152656566797855,0.9021879019391367,0.1581220561459178,0.02802834420519446
G,main,7013,passive_only,0.0,1.0,0.00014917475229958544,0.9361913837536349,0.1581220561459178,0.0852205143321527
G,main,7013,causal_residual,1.0,0.0,0.919136976474497,0.017203582031437473,0.1581220561459178,0.5045919643656284
G,main,7013,random_noop_residual,0.000625,0.999375,0.024896810220930387,0.9114437482850042,0.1581220561459178,0.5048931953656104
G,main,7013,attention_contact,0.0,1.0,0.030153914721272473,0.9061866437846621,0.1581220561459178,0.08508641025037499
G,main,7013,oracle_effect,1.0,0.0,0.9363405585059346,0.0,0.1581220561459178,0.460838304388451
G,main,7014,total_flow,0.0,1.0,0.03720485102852769,0.8940064172408024,0.15386057514078758,0.02783528866248091
G,main,7014,passive_only,0.0,1.0,0.0017578759604853578,0.9294533923088448,0.15386057514078758,0.085368732042332
G,main,7014,causal_residual,1.0,0.0,0.9144732564899358,0.016738011779394303,0.15386057514078758,0.5047014324064969
G,main,7014,random_noop_residual,0.000625,0.999375,0.027175229171691403,0.9040360390976389,0.15386057514078758,0.5045965413849193
G,main,7014,attention_contact,0.0,1.0,0.03256659211529224,0.898644676154038,0.15386057514078758,0.08502203364212313
G,main,7014,oracle_effect,1.0,0.0,0.9312112682693302,0.0,0.15386057514078758,0.460348757689788
G,main,7015,total_flow,0.0,1.0,0.03416368347897132,0.9026752822705043,0.15947133226671695,0.028042485028170243
G,main,7015,passive_only,0.0,1.0,-0.003653749834937894,0.9404927155844135,0.15947133226671695,0.0855291750683985
G,main,7015,causal_residual,1.0,0.0,0.9225215276080587,0.01431743814141688,0.15947133226671695,0.5042765664728732
G,main,7015,random_noop_residual,0.0,1.0,0.026409798942005035,0.9104291668074705,0.15947133226671695,0.5043139435613921
G,main,7015,attention_contact,0.0,1.0,0.03208100539712049,0.9047579603523552,0.15947133226671695,0.08578794435384167
G,main,7015,oracle_effect,1.0,0.0,0.9368389657494757,0.0,0.15947133226671695,0.4594838923815491
