family,setting,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
G,main,7000,total_flow,0.0,1.0,0.03707768446119023,0.896919246794643,0.15586059578565817,0.02791215603341263
G,main,7000,passive_only,0.0,1.0,0.0015285058688394972,0.9324684253869937,0.15586059578565817,0.08565765237499642
G,main,7000,causal_residual,1.0,0.0,0.9190335704338182,0.014963360822015015,0.15586059578565817,0.5040729874620569
G,main,7000,random_noop_residual,0.000625,0.999375,0.02752730915552721,0.9064696221003059,0.15586059578565817,0.5041761115735303
G,main,7000,attention_contact,0.0,1.0,0.031669176432610475,0.9023277548232227,0.15586059578565817,0.08510751800001642
G,main,7000,oracle_effect,1.0,0.0,0.9339969312558333,0.0,0.15586059578565817,0.45957126079287325
G,main,7001,total_flow,0.0,1.0,0.03213066756691492,0.9062702852716772,0.15806204743281937,0.027880452265770305
G,main,7001,passive_only,0.0,1.0,-0.0018575478793293016,0.9402585007179214,0.15806204743281937,0.08563699357840081
G,main,7001,causal_residual,1.0,0.0,0.9219448135890884,0.016456139249503735,0.15806204743281937,0.504364097691236
G,main,7001,random_noop_residual,0.0,1.0,0.02501779464511446,0.9133831581934777,0.15806204743281937,0.5044525833275403
G,main,7001,attention_contact,0.0,1.0,0.0288913767867225,0.9095095760518697,0.15806204743281937,0.08498941679786182
G,main,7001,oracle_effect,1.0,0.0,0.938400952838592,0.0,0.15806204743281937,0.4597384895262246
G,main,7002,total_flow,0.0,1.0,0.035433852011246963,0.8977226992052765,0.1511269005430078,0.02790929292393031
G,main,7002,passive_only,0.0,1.0,0.0003826665660004027,0.932773884650523,0.1511269005430078,0.08527306271546005
G,main,7002,causal_residual,1.0,0.0,0.9187230621536073,0.014433489062916163,0.1511269005430078,0.5056862966021455
G,main,7002,random_noop_residual,0.00125,0.99875,0.02679221588954201,0.9063643353269814,0.1511269005430078,0.5054527299352005
G,main,7002,attention_contact,0.0,1.0,0.030533381306006864,0.9026231699105165,0.1511269005430078,0.0853129716815753
G,main,7002,oracle_effect,1.0,0.0,0.9331565512165234,0.0,0.1511269005430078,0.4606955782426616
G,main,7003,total_flow,0.0,1.0,0.0368211270467896,0.8984376581095771,0.15732461778046597,0.02786455474459612
G,main,7003,passive_only,0.0,1.0,0.004046884654531456,0.9312119005018353,0.15732461778046597,0.08551044879138842
G,main,7003,causal_residual,1.0,0.0,0.9190708797822142,0.016187905374152517,0.15732461778046597,0.5041223333200413
G,main,7003,random_noop_residual,0.000625,0.999375,0.02859247435125269,0.906666310805114,0.15732461778046597,0.5041502484037034
G,main,7003,attention_contact,0.0,1.0,0.03477861605027299,0.9004801691060936,0.15732461778046597,0.0853075688274586
G,main,7003,oracle_effect,1.0,0.0,0.9352587851563666,0.0,0.15732461778046597,0.4593980750848218
G,main,7004,total_flow,0.0,1.0,0.030252346960128483,0.9028005120429969,0.15348300089036718,0.027873946548025868
G,main,7004,passive_only,0.0,1.0,-0.00021981165944737397,0.9332726706625729,0.15348300089036718,0.08537686736580208
G,main,7004,causal_residual,1.0,0.0,0.9157433264343813,0.017309532568744238,0.15348300089036718,0.5043148661528032
G,main,7004,random_noop_residual,0.0,1.0,0.02313019310849369,0.9099226658946319,0.15348300089036718,0.5039092717034858
G,main,7004,attention_contact,0.0,1.0,0.027916262587056383,0.9051365964160693,0.15348300089036718,0.08511012000722375
G,main,7004,oracle_effect,1.0,0.0,0.9330528590031255,0.0,0.15348300089036718,0.46006047085665425
G,main,7005,total_flow,0.0,1.0,0.033232879923030964,0.9034182970639723,0.15866497157547085,0.027898813354397544
G,main,7005,passive_only,0.0,1.0,-0.0020434562447086586,0.9386946332317119,0.15866497157547085,0.08558835345704156
G,main,7005,causal_residual,1.0,0.0,0.9208248084795062,0.015826368507497083,0.15866497157547085,0.5028692014101771
G,main,7005,random_noop_residual,0.000625,0.999375,0.023262043845618408,0.9133891331413848,0.15866497157547085,0.5029864309017679
G,main,7005,attention_contact,0.0,1.0,0.02826293137871657,0.9083882456082867,0.15866497157547085,0.08519375348608559
G,main,7005,oracle_effect,1.0,0.0,0.9366511769870033,0.0,0.15866497157547085,0.45856270995709675
G,main,7006,total_flow,0.0,1.0,0.03733976421580978,0.8906592770210372,0.1529999969916257,0.02787508622625687
G,main,7006,passive_only,0.0,1.0,0.0025419767416397297,0.9254570644952074,0.1529999969916257,0.08505024521417553
G,main,7006,causal_residual,1.0,0.0,0.9111154641864576,0.016883577050389464,0.1529999969916257,0.5048243263412908
G,main,7006,random_noop_residual,0.000625,0.999375,0.028368933940004247,0.8996301072968427,0.1529999969916257,0.5046412736386656
G,main,7006,attention_contact,0.0,1.0,0.034341933936499626,0.8936571073003473,0.1529999969916257,0.08503348595673087
G,main,7006,oracle_effect,1.0,0.0,0.927999041236847,0.0,0.1529999969916257,0.4605999721508719
G,main,7007,total_flow,0.0,1.0,0.031696662112307254,0.9029121304517296,0.15733438185415646,0.02792719486496205
G,main,7007,passive_only,0.0,1.0,-0.0003970075161268397,0.9350058000801638,0.15733438185415646,0.08528659602684782
G,main,7007,causal_residual,1.0,0.0,0.9194702694493918,0.015138523114644946,0.15733438185415646,0.5054736042371208
G,main,7007,random_noop_residual,0.000625,0.999375,0.02667833308303972,0.9079304594809972,0.15733438185415646,0.5054352713104167
G,main,7007,attention_contact,0.0,1.0,0.030407149373468636,0.9042016431905683,0.15733438185415646,0.08518291422118736
G,main,7007,oracle_effect,1.0,0.0,0.9346087925640368,0.0,0.15733438185415646,0.4605848580698783
G,main,7008,total_flow,0.0,1.0,0.03238406915048852,0.8975327276574145,0.15200562778446255,0.0280408006401279
G,main,7008,passive_only,0.0,1.0,-0.0003683100569804459,0.9302851068648836,0.15200562778446255,0.08537736802804839
G,main,7008,causal_residual,1.0,0.0,0.9126034754447444,0.017313321363158773,0.15200562778446255,0.5047732117872361
G,main,7008,random_noop_residual,0.000625,0.999375,0.024134900529434136,0.9057818962784691,0.15200562778446255,0.504497678900629
G,main,7008,attention_contact,0.0,1.0,0.03061247180897232,0.8993043249989309,0.15200562778446255,0.08518256955363598
G,main,7008,oracle_effect,1.0,0.0,0.9299167968079033,0.0,0.15200562778446255,0.46043976508132917
G,main,7009,total_flow,0.0,1.0,0.03195142129245708,0.9004717337302091,0.15413059305123641,0.027959193007514135
G,main,7009,passive_only,0.0,1.0,-0.0021992301980893474,0.9346223852207555,0.15413059305123641,0.08526015671736202
G,main,7009,causal_residual,1.0,0.0,0.9160473156132422,0.01637583940942397,0.15413059305123641,0.5040454339447153
G,main,7009,random_noop_residual,0.000625,0.999375,0.025734220423511468,0.9066889345991547,0.15413059305123641,0.504269431426512
G,main,7009,attention_contact,0.0,1.0,0.02832363152093631,0.9040995235017298,0.15413059305123641,0.08528093011091692
G,main,7009,oracle_effect,1.0,0.0,0.9324231550226663,0.0,0.15413059305123641,0.4593842712070415
G,main,7010,total_flow,0.0,1.0,0.0341573354906129,0.9006796984199377,0.15432437180709194,0.027928999214289228
G,main,7010,passive_only,0.0,1.0,-0.000522628096283002,0.9353596620068336,0.15432437180709194,0.08544341619568978
G,main,7010,causal_residual,1.0,0.0,0.9199124099439032,0.014924623966647378,0.15432437180709194,0.5034837297056244
G,main,7010,random_noop_residual,0.001875,0.998125,0.027259223169182348,0.9075778107413685,0.15432437180709194,0.5035816638331994
G,main,7010,attention_contact,0.0,1.0,0.032063045642311154,0.9027739882682395,0.15432437180709194,0.08512000259963401
G,main,7010,oracle_effect,1.0,0.0,0.9348370339105507,0.0,0.15432437180709194,0.45911086422624886
G,main,7011,total_flow,0.0,1.0,0.03766781854726237,0.890223102840229,0.15404531138537944,0.02804940410398937
G,main,7011,passive_only,0.0,1.0,0.0027504189392573014,0.9251405024482341,0.15404531138537944,0.0851831307196406
G,main,7011,causal_residual,1.0,0.0,0.9123517064050805,0.015539214982410841,0.15404531138537944,0.504153770636604
G,main,7011,random_noop_residual,0.00125,0.99875,0.02924448388338108,0.8986464375041103,0.15404531138537944,0.5043142880488901
G,main,7011,attention_contact,0.0,1.0,0.03256248837554218,0.8953284330119493,0.15404531138537944,0.08510349574494785
G,main,7011,oracle_effect,1.0,0.0,0.9278909213874914,0.0,0.15404531138537944,0.45928412461182994
G,main,7012,total_flow,0.0,1.0,0.0348430999553545,0.89592494169758,0.15769638534305952,0.027909686344062382
G,main,7012,passive_only,0.0,1.0,-0.003509240904012616,0.9342772825569472,0.15769638534305952,0.08535495920052376
G,main,7012,causal_residual,1.0,0.0,0.9148617506570609,0.015906290995873474,0.15769638534305952,0.5052864651087515
