family,overlap,occlusion,method,n,success_rate_mean,success_rate_se,distractor_rate_mean,distractor_rate_se,mean_progress_mean,mean_progress_se,regret_mean,regret_se,ranking_margin_mean,ranking_margin_se,endpoint_error_mean,endpoint_error_se
C,0.0,0.0,attention_contact,10,0.0,0.0,1.0,0.0,0.03139010186597184,0.0009505964507001049,0.9026012445266364,0.0012436267844858778,0.15580998198865673,0.0013314183446460506,0.08698003695956934,0.00011136640024086496
C,0.0,0.0,causal_residual,10,1.0,0.0,0.0,0.0,0.9180716690220964,0.0013650160064793333,0.015919677370511802,0.0005384357519666098,0.15580998198865673,0.0013314183446460506,0.5560501724374867,0.00029180648934823926
C,0.0,0.0,oracle_effect,10,1.0,0.0,0.0,0.0,0.9339913463926081,0.0011862388403668454,0.0,0.0,0.15580998198865673,0.0013314183446460506,0.5132436496875526,0.0002353408377256835
C,0.0,0.0,total_flow,10,0.0,0.0,1.0,0.0,0.03412459549369455,0.0008766821375182141,0.8998667508989137,0.0012592152466317308,0.15580998198865673,0.0013314183446460506,0.02788673771489698,4.23165781508994e-05
C,0.0,0.25,attention_contact,10,0.0,0.0,1.0,0.0,0.03135876489767582,0.00047156654331812907,0.8258131846961358,0.0026125787797606566,0.3467188882517174,0.0026069818115876083,0.08721680677941558,9.347060058863338e-05
C,0.0,0.25,causal_residual,10,0.9344166666666667,0.003928469214639509,0.012833333333333332,0.00093952969584932,0.8428606558514676,0.003061002964497084,0.01431129374234412,0.0004264231923846116,0.3467188882517174,0.0026069818115876083,0.556031782588143,0.0004102138821064701
C,0.0,0.25,oracle_effect,10,0.9348333333333333,0.003922080576605065,0.006750000000000001,0.0008188557207213153,0.8571719495938117,0.002851829557361861,0.0,0.0,0.3467188882517174,0.0026069818115876083,0.5130986936192771,0.0003969554740316699
C,0.0,0.25,total_flow,10,0.0,0.0,1.0,0.0,0.034234852252901765,0.0008288256451285693,0.82293709734091,0.0024162191307503162,0.3467188882517174,0.0026069818115876083,0.02786467351312504,2.9428413585131325e-05
C,0.0,0.5,attention_contact,10,0.0,0.0,1.0,0.0,0.031552846561345195,0.000645672989418281,0.6808822855348959,0.0026791249611599083,0.39247251398928057,0.0024302131444849276,0.08718275266018989,9.209277829777856e-05
C,0.0,0.5,causal_residual,10,0.7452499999999999,0.002735934850498611,0.05175,0.0019222944751995507,0.6884475371616416,0.0028953331819941224,0.023987594934599586,0.0005681485548003822,0.39247251398928057,0.0024302131444849276,0.5559454081185072,0.00041935697104346917
C,0.0,0.5,oracle_effect,10,0.7457499999999999,0.0027370627222771185,0.024416666666666666,0.0010833333333333333,0.7124351320962411,0.0026620213107658797,0.0,0.0,0.39247251398928057,0.0024302131444849276,0.5131173755056934,0.000376262897096112
C,0.0,0.5,total_flow,10,0.0,0.0,1.0,0.0,0.03332354199993977,0.0006568949094917007,0.6791115900963014,0.002552583447733775,0.39247251398928057,0.0024302131444849276,0.027871359032407766,4.789355221923972e-05
C,0.25,0.0,attention_contact,10,0.5511666666666666,0.00399304951690365,0.45175,0.004007034709170091,0.5386230305713221,0.003099211038676612,0.3942538316501206,0.0030058630112801067,0.15504730439319075,0.000670616586732788,0.08727857500899597,9.933965973543948e-05
C,0.25,0.0,causal_residual,10,0.9996666666666666,0.00018425693279752647,0.0003333333333333334,0.0001842569327975222,0.9163762806229405,0.0007411708200998755,0.016500581598502383,0.00035239925534380576,0.15504730439319075,0.000670616586732788,0.6187773733720758,0.0005460912103460595
C,0.25,0.0,oracle_effect,10,1.0,0.0,0.0,0.0,0.932876862221443,0.0006183157073104629,0.0,0.0,0.15504730439319075,0.000670616586732788,0.5777107946389402,0.0005100917717447692
C,0.25,0.0,total_flow,10,0.44591666666666663,0.00427173093548566,0.5579999999999999,0.00428930625487948,0.46351395808347995,0.0029966762993093336,0.46936290413796283,0.002916248157375387,0.15504730439319075,0.000670616586732788,0.027904045679033002,3.641038369704617e-05
C,0.25,0.25,attention_contact,10,0.42400000000000004,0.0026199613605670177,0.5029166666666667,0.0030687844941613184,0.45070237781519185,0.002309796448630626,0.4131615912879437,0.0030190121933425735,0.28788412968655996,0.0018499494583026225,0.08707145978817407,9.927651653197637e-05
