family,setting,method,n,success_rate_mean,success_rate_se,distractor_rate_mean,distractor_rate_se,mean_progress_mean,mean_progress_se,regret_mean,regret_se,ranking_margin_mean,ranking_margin_se,endpoint_error_mean,endpoint_error_se
A,high_confound,action_conditioned_total,8,0.010546875,0.0011355992508284528,0.989453125,0.0011355992508284448,0.05968744719267011,0.001537447351906963,0.8727209055410532,0.0015864293658632831,0.15494559890735407,0.0010944431609466257,0.4692785553458635,0.00014840121086093266
A,high_confound,attention_contact,8,0.0,0.0,1.0,0.0,0.022443404209705052,0.000424037896696286,0.9099649485240183,0.0006822458712313012,0.15494559890735407,0.0010944431609466257,0.08529605644711574,6.56700882490722e-05
A,high_confound,causal_residual,8,1.0,0.0,0.0,0.0,0.916795190999806,0.0007627620991061196,0.015613161733917408,0.0002536473207348159,0.15494559890735407,0.0010944431609466257,0.7211889620119274,0.00031168239072472745
A,high_confound,oracle_effect,8,1.0,0.0,0.0,0.0,0.9324083527337232,0.0006748559547012932,0.0,0.0,0.15494559890735407,0.0010944431609466257,0.6763276187314388,0.00031729597323576747
A,high_confound,total_flow,8,0.0,0.0,1.0,0.0,0.024049655701990684,0.00044657843069299916,0.9083586970317328,0.0008275893945937476,0.15494559890735407,0.0010944431609466257,0.027931015455471886,3.1660339343654114e-05
A,high_noise,action_conditioned_total,8,0.615859375,0.004919748690364102,0.38414062499999996,0.004919748690364103,0.6259174905354095,0.004572619307468361,0.30721671532550354,0.0037788576929448305,0.15478143099043407,0.0010925195176836795,0.32852304888688905,0.0001689814991161566
A,high_noise,attention_contact,8,0.0,0.0,1.0,0.0,0.03175400374161523,0.0004084334817391365,0.9013802021192978,0.0010586263095806485,0.15478143099043407,0.0010925195176836795,0.08535100889162531,4.3202802893880474e-05
A,high_noise,causal_residual,8,0.9945312500000001,0.0006222035653913512,0.0022656250000000003,0.0003111017826956775,0.8951034985859687,0.0012591433546819382,0.03803070727494426,0.0006538298441021403,0.15478143099043407,0.0010925195176836795,0.5619792549132745,0.00034853594759979233
A,high_noise,oracle_effect,8,1.0,0.0,0.0,0.0,0.9331342058609131,0.0009987143021100906,0.0,0.0,0.15478143099043407,0.0010925195176836795,0.4596376921220682,0.00026934761693102154
A,high_noise,total_flow,8,0.0,0.0,1.0,0.0,0.034315653408573024,0.0005399436734777716,0.89881855245234,0.0012836872790512384,0.15478143099043407,0.0010925195176836795,0.027940378014075725,2.216737216510454e-05
A,low_confound,action_conditioned_total,8,1.0,0.0,0.0,0.0,0.9234979606247875,0.0009154458468889552,0.009519575169215616,0.0002159371746816431,0.15551634243398554,0.0008505358556360167,0.11720811429381102,0.00010158664171931481
A,low_confound,attention_contact,8,0.9999218750000001,7.812499999999833e-05,7.8125e-05,7.8125e-05,0.9146737236744935,0.0010864472989042377,0.018343812119509483,0.00038391141424474676,0.15551634243398554,0.0008505358556360167,0.08524665333445565,5.7017963127071985e-05
A,low_confound,causal_residual,8,1.0,0.0,0.0,0.0,0.916471014143222,0.0010954069340986174,0.016546521650781063,0.0003294704675978845,0.15551634243398554,0.0008505358556360167,0.1789714721088477,0.00012149998266809977
