family,setting,method,n,success_rate_mean,success_rate_se,distractor_rate_mean,distractor_rate_se,mean_progress_mean,mean_progress_se,regret_mean,regret_se,ranking_margin_mean,ranking_margin_se,endpoint_error_mean,endpoint_error_se
G,main,attention_contact,16,0.0,0.0,1.0,0.0,0.031106528439482344,0.0005217176798908294,0.9022279610333062,0.0011008978573427627,0.15553204786113897,0.0006473465988588863,0.0852007021793795,4.8404437717651654e-05
G,main,causal_residual,16,1.0,0.0,0.0,0.0,0.9173646633215617,0.0008826830961291492,0.015969826151226642,0.00025077502556878554,0.15553204786113897,0.0006473465988588863,0.5044400179778001,0.00017785157909425711
G,main,oracle_effect,16,1.0,0.0,0.0,0.0,0.9333344894727884,0.0007848216323472722,0.0,0.0,0.15553204786113897,0.0006473465988588863,0.45989958594695235,0.0001678301014261308
G,main,passive_only,16,0.0,0.0,1.0,0.0,-0.00010084243167888434,0.00055744341419713,0.9334353319044673,0.0011263602818547107,0.15553204786113897,0.0006473465988588863,0.08538235448926629,4.2718807581338614e-05
G,main,random_noop_residual,16,0.000625,0.0001275775907699572,0.999375,0.00012757759076995447,0.026221495476875866,0.0004589629393714918,0.9071129939959125,0.0010413877665494497,0.15553204786113897,0.0006473465988588863,0.5044447407717787,0.00016640533952535705
G,main,total_flow,16,0.0,0.0,1.0,0.0,0.03440686998799315,0.0005871642632964,0.8989276194847952,0.0011549253573676205,0.15553204786113897,0.0006473465988588863,0.02793348113544877,1.7502862368809205e-05
