family,stress,level,method,n,success_rate_mean,success_rate_se,distractor_rate_mean,distractor_rate_se,mean_progress_mean,mean_progress_se,regret_mean,regret_se,ranking_margin_mean,ranking_margin_se,endpoint_error_mean,endpoint_error_se
B,leak,0.0,causal_residual,10,1.0,0.0,0.0,0.0,0.9166863896587975,0.0005491248486124082,0.01635530415798848,0.00032049583471245905,0.15594235179202215,0.0007217233695350952,0.5556846388640488,0.0002445078979773665
B,leak,0.0,oracle_effect,10,1.0,0.0,0.0,0.0,0.9330416938167858,0.0006824807174877325,0.0,0.0,0.15594235179202215,0.0007217233695350952,0.5128155748301745,0.00023843004917550393
B,leak,0.0,total_flow,10,0.0,0.0,1.0,0.0,0.03444302244451045,0.00048109813227317956,0.8985986713722754,0.0009268997642645918,0.15594235179202215,0.0007217233695350952,0.027927101719766995,3.468501175125882e-05
B,leak,0.1,causal_residual,10,1.0,0.0,0.0,0.0,0.9138691960704343,0.0011418711597865703,0.019070545848601593,0.0003926418351614446,0.15570210416415903,0.00105640975656481,0.5576250631028341,0.00037956884178309597
B,leak,0.1,oracle_effect,10,1.0,0.0,0.0,0.0,0.932939741919036,0.001074161950882806,0.0,0.0,0.15570210416415903,0.00105640975656481,0.5131547895151486,0.00033666389034664186
B,leak,0.1,total_flow,10,0.0,0.0,1.0,0.0,0.03510989829086754,0.0006298012769672351,0.8978298436281683,0.0016219393032113271,0.15570210416415903,0.00105640975656481,0.027844700437567326,4.429672666311037e-05
B,leak,0.25,causal_residual,10,1.0,0.0,0.0,0.0,0.9085814647531183,0.0010856861722528773,0.024423442087698234,0.0003740420596302117,0.15506023397779903,0.0005763799528008236,0.5631266628551147,0.00027706524969092484
B,leak,0.25,oracle_effect,10,1.0,0.0,0.0,0.0,0.9330049068408164,0.0009387955652629281,0.0,0.0,0.15506023397779903,0.0005763799528008236,0.5126108836068188,0.0003021085265323853
B,leak,0.25,total_flow,10,0.0,0.0,1.0,0.0,0.034438501277203715,0.00045271593427392945,0.8985664055636127,0.0011646015935700901,0.15506023397779903,0.0005763799528008236,0.027965332751240274,3.4338632583110957e-05
B,leak,0.5,causal_residual,10,0.9917142857142857,0.0007766431633476217,0.003,0.0006004533434723091,0.8911023898864219,0.0012512215495026472,0.04207465003124365,0.0009215372753546384,0.15602219162905104,0.0007465397038048275,0.577020713648287,0.00025870693695357764
