family,stress,level,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
B,scale,0.25,2002,causal_residual,0.0,1.0,0.041723020583830234,0.8918851770169681,0.15497597473900507,0.18568228392739003
B,scale,0.25,2002,total_flow,0.0,1.0,0.040595261288763965,0.8930129363120344,0.15497597473900507,0.027942281099493985
B,scale,0.25,2002,oracle_effect,1.0,0.0,0.9336081976007984,0.0,0.15497597473900507,0.5124186034273548
B,scale,0.5,2005,causal_residual,0.03214285714285714,0.9678571428571429,0.07657012649593153,0.85334912915866,0.156467558691215,0.30825017379587827
B,scale,0.5,2005,total_flow,0.0,1.0,0.03315912262308218,0.8967601330315094,0.156467558691215,0.02785814752814151
B,scale,0.5,2005,oracle_effect,1.0,0.0,0.9299192556545915,0.0,0.156467558691215,0.5128210584932203
B,scale,0.75,2007,causal_residual,0.9278571428571428,0.07214285714285715,0.8681115386708665,0.06787440037814303,0.1584828198086387,0.43299134893186436
B,scale,0.75,2007,total_flow,0.0,1.0,0.0325756631227572,0.9034102759262526,0.1584828198086387,0.027929423339675727
B,scale,0.75,2007,oracle_effect,1.0,0.0,0.9359859390490097,0.0,0.1584828198086387,0.5145539710248499
B,scale,1.0,2010,causal_residual,1.0,0.0,0.9211865118776892,0.01617037333254945,0.16118538890137685,0.5559871875837015
B,scale,1.0,2010,total_flow,0.0,1.0,0.03354889320034824,0.9038079920098903,0.16118538890137685,0.027956940249606724
B,scale,1.0,2010,oracle_effect,1.0,0.0,0.9373568852102386,0.0,0.16118538890137685,0.5127395953380276
B,scale,1.25,2012,causal_residual,1.0,0.0,0.9165035975529976,0.018392666707398482,0.15637472984589307,0.6815898179301851
B,scale,1.25,2012,total_flow,0.0,1.0,0.03323413110997051,0.9016621331504255,0.15637472984589307,0.027913974496511968
B,scale,1.25,2012,oracle_effect,1.0,0.0,0.934896264260396,0.0,0.15637472984589307,0.5137686880263932
B,scale,1.5,2015,causal_residual,1.0,0.0,0.9143116826931279,0.01818699372736705,0.15544522794932217,0.8057576136402822
