family,setting,confound,passive_noise,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
A,main,2.0,0.1,1000,total_flow,0.0,1.0,0.03364882536891995,0.8965487788640687,0.1549370525179017,0.02805591549008284
A,main,2.0,0.1,1000,causal_residual,1.0,0.0,0.9137500788360039,0.016447525396984727,0.1549370525179017,0.5039105971853153
A,main,2.0,0.1,1000,attention_contact,0.0,1.0,0.031574238692267144,0.8986233655407214,0.1549370525179017,0.08516717067325973
A,main,2.0,0.1,1000,action_conditioned_total,0.601875,0.398125,0.6129771697418043,0.3172204344911843,0.1549370525179017,0.32831112600801426
A,main,2.0,0.1,1000,oracle_effect,1.0,0.0,0.9301976042329886,0.0,0.1549370525179017,0.4590845219484354
A,one_distractor,2.0,0.1,1005,total_flow,0.0,1.0,-0.001226963836728651,0.9076784408827998,0.8171142585879668,0.02794413691950387
A,one_distractor,2.0,0.1,1005,causal_residual,1.0,0.0,0.9064514770460711,0.0,0.8171142585879668,0.14251244533857418
A,one_distractor,2.0,0.1,1005,attention_contact,0.030625,0.969375,0.03175480874556013,0.874696668300511,0.8171142585879668,0.07751194839801162
A,one_distractor,2.0,0.1,1005,action_conditioned_total,0.8575,0.1425,0.7986661156831656,0.10778536136290566,0.8171142585879668,0.09354872792025541
A,one_distractor,2.0,0.1,1005,oracle_effect,1.0,0.0,0.9064514770460711,0.0,0.8171142585879668,0.08617044830688105
A,many_distractors,2.0,0.1,1010,total_flow,0.0,1.0,0.05180130039227133,0.8781849194236417,0.15182296800512246,0.027913786859425718
A,many_distractors,2.0,0.1,1010,causal_residual,1.0,0.0,0.9143429230719903,0.0156432967439228,0.15182296800512246,0.9171454695582714
A,many_distractors,2.0,0.1,1010,attention_contact,0.0,1.0,0.047618084746327935,0.8823681350695852,0.15182296800512246,0.08527156622556822
A,many_distractors,2.0,0.1,1010,action_conditioned_total,0.48125,0.51875,0.5182049775337076,0.41178124228220553,0.15182296800512246,0.5963266656615036
A,many_distractors,2.0,0.1,1010,oracle_effect,1.0,0.0,0.9299862198159131,0.0,0.15182296800512246,0.8855115403213754
A,low_confound,0.5,0.1,1015,total_flow,0.980625,0.019375,0.9124935711090327,0.02227084077893946,0.154535951698995,0.027702045117526185
A,low_confound,0.5,0.1,1015,causal_residual,1.0,0.0,0.9181883189207726,0.016576092967199602,0.154535951698995,0.17907247505032936
A,low_confound,0.5,0.1,1015,attention_contact,1.0,0.0,0.9170456709681225,0.017718740919849624,0.154535951698995,0.08519707418041549
A,low_confound,0.5,0.1,1015,action_conditioned_total,1.0,0.0,0.9252724397809742,0.009491972106997988,0.154535951698995,0.11715488506811048
A,low_confound,0.5,0.1,1015,oracle_effect,1.0,0.0,0.9347644118879722,0.0,0.154535951698995,0.1346733030465678
A,high_confound,3.0,0.1,1000,total_flow,0.0,1.0,0.023989598237723574,0.9062080059952651,0.1549370525179017,0.02805591549008284
A,high_confound,3.0,0.1,1000,causal_residual,1.0,0.0,0.9137500788360039,0.016447525396984727,0.1549370525179017,0.7203260087742162
A,high_confound,3.0,0.1,1000,attention_contact,0.0,1.0,0.022457016076388028,0.9077405881566005,0.1549370525179017,0.08516717067325973
A,high_confound,3.0,0.1,1000,action_conditioned_total,0.008125,0.991875,0.056602156888833265,0.8735954473441552,0.1549370525179017,0.46898114354079967
A,high_confound,3.0,0.1,1000,oracle_effect,1.0,0.0,0.9301976042329886,0.0,0.1549370525179017,0.675499933537336
A,high_noise,2.0,0.2,1005,total_flow,0.0,1.0,0.03476931065408273,0.8952753332887352,0.15163735858853603,0.027969689461913555
A,high_noise,2.0,0.2,1005,causal_residual,0.9925,0.001875,0.8923694123242286,0.0376752316185892,0.15163735858853603,0.5618231510232345
A,high_noise,2.0,0.2,1005,attention_contact,0.0,1.0,0.03194617668853236,0.8980984672542857,0.15163735858853603,0.08533260033298833
A,high_noise,2.0,0.2,1005,action_conditioned_total,0.60875,0.39125,0.6174698057418345,0.3125748382009834,0.15163735858853603,0.3287824890175345
A,high_noise,2.0,0.2,1005,oracle_effect,1.0,0.0,0.9300446439428179,0.0,0.15163735858853603,0.4602347536422813
A,main,2.0,0.1,1030,total_flow,0.0,1.0,0.034611446077686105,0.900736250246417,0.1554466075223963,0.027877852679725222
A,main,2.0,0.1,1030,causal_residual,1.0,0.0,0.9196961301553537,0.015651566168749267,0.1554466075223963,0.5051184310267984
A,main,2.0,0.1,1030,attention_contact,0.0,1.0,0.032442522102190285,0.9029051742219129,0.1554466075223963,0.08514562269751703
A,main,2.0,0.1,1030,action_conditioned_total,0.624375,0.375625,0.6330593601307197,0.3022883361933833,0.1554466075223963,0.3288047108562053
A,main,2.0,0.1,1030,oracle_effect,1.0,0.0,0.935347696324103,0.0,0.1554466075223963,0.460358030563793
A,one_distractor,2.0,0.1,1035,total_flow,0.0,1.0,0.00357476334185195,0.9089351968595036,0.821934158473743,0.02791461216819946
