family,samples,method,n,success_rate_mean,success_rate_se,distractor_rate_mean,distractor_rate_se,mean_progress_mean,mean_progress_se,regret_mean,regret_se,ranking_margin_mean,ranking_margin_se,endpoint_error_mean,endpoint_error_se
E,128,causal_residual,12,1.0,0.0,0.0,0.0,0.9164292027783559,0.00077157018956568,0.01841551065207225,0.00037453559767047177,0.15725978946994257,0.0006737980789222621,0.5669450274381281,0.00024142397093713684
E,128,oracle_effect,12,1.0,0.0,0.0,0.0,0.9348447134304282,0.0005428742748832155,0.0,0.0,0.15725978946994257,0.0006737980789222621,0.5130558054604328,0.00021744212160211375
E,128,total_flow,12,0.0,0.0,1.0,0.0,0.033824228356463544,0.0006637802396274114,0.9010204850739646,0.00083451045945677,0.15725978946994257,0.0006737980789222621,0.02787739268401657,3.549482196074543e-05
E,16,causal_residual,12,0.9994047619047618,0.0001479956096447762,0.0002976190476190476,0.00010617649821617198,0.9035364259943658,0.0009585055949664463,0.030212603136085103,0.0005809595148593307,0.15629715965657717,0.0011204894279853153,0.6094832979274415,0.000303452810037398
E,16,oracle_effect,12,1.0,0.0,0.0,0.0,0.9337490291304508,0.0008407437272007431,0.0,0.0,0.15629715965657717,0.0011204894279853153,0.5132854937257058,0.00024604351159246673
E,16,total_flow,12,0.0,0.0,1.0,0.0,0.03490323231125522,0.0006597408253172897,0.8988457968191956,0.0011603394830101358,0.15629715965657717,0.0011204894279853153,0.02792871119428607,2.359565691341181e-05
E,256,causal_residual,12,1.0,0.0,0.0,0.0,0.9164871252476546,0.0007378761150717293,0.016872704416531697,0.0003472571711624481,0.1552646763721226,0.0007149490254695339,0.5602558164163433,0.00018227228424849012
E,256,oracle_effect,12,1.0,0.0,0.0,0.0,0.9333598296641864,0.0006164997518030947,0.0,0.0,0.1552646763721226,0.0007149490254695339,0.5128716798774109,0.00015233285688915894
E,256,total_flow,12,0.0,0.0,1.0,0.0,0.034087815902610806,0.0007382216616414424,0.8992720137615754,0.0010705216573572483,0.1552646763721226,0.0007149490254695339,0.027971893039926057,2.042382278487457e-05
E,32,causal_residual,12,0.9999404761904763,5.952380952380563e-05,0.0,0.0,0.9078497706376377,0.000989350715405198,0.025294935411020514,0.00038881972865428116,0.15564282901584173,0.0010836837381984715,0.5897966260288608,0.00029475447291637435
E,32,oracle_effect,12,1.0,0.0,0.0,0.0,0.9331447060486582,0.0007746207404017948,0.0,0.0,0.15564282901584173,0.0010836837381984715,0.5130739365950155,0.00023932146581155084
E,32,total_flow,12,0.0,0.0,1.0,0.0,0.03501711186493172,0.0008222588717300464,0.8981275941837265,0.001145382716918136,0.15564282901584173,0.0010836837381984715,0.02785808793990849,3.524806411714721e-05
E,64,causal_residual,12,1.0,0.0,0.0,0.0,0.9119774543382692,0.0006423465663416428,0.021376843876412466,0.0002890066640491165,0.15590600513840303,0.0009195822392550218,0.5760611507182047,0.0002623639623195663
E,64,oracle_effect,12,1.0,0.0,0.0,0.0,0.9333542982146815,0.0007547051946210588,0.0,0.0,0.15590600513840303,0.0009195822392550218,0.512812822645576,0.00023514310924634374
E,64,total_flow,12,0.0,0.0,1.0,0.0,0.03508806764238542,0.0004535405887133455,0.8982662305722964,0.0010263569381141762,0.15590600513840303,0.0009195822392550218,0.02794524847010901,2.5175411534951335e-05
E,8,causal_residual,12,0.9920833333333333,0.0007058940683887583,0.0020833333333333333,0.0002704003841698915,0.8923964783834689,0.0008639039005386386,0.04212952751536911,0.0007397140334262239,0.1573575422517137,0.000711697615699698,0.6379107607507937,0.00034142880110661503
E,8,oracle_effect,12,1.0,0.0,0.0,0.0,0.9345260058988379,0.0005992608724188272,0.0,0.0,0.1573575422517137,0.000711697615699698,0.5131822091594123,0.00028983876156078996
E,8,total_flow,12,0.0,0.0,1.0,0.0,0.03490737127256225,0.000749851851114569,0.8996186346262757,0.0010438961448671032,0.1573575422517137,0.000711697615699698,0.02788451202477848,2.8584753646556257e-05
