family,overlap,occlusion,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
C,0.0,0.0,3000,total_flow,0.0,1.0,0.03270054445895011,0.8971456432535821,0.15751783925621615,0.028075053336851893
C,0.0,0.0,3000,causal_residual,1.0,0.0,0.9134738339057681,0.01637235380676414,0.15751783925621615,0.5564395553017961
C,0.0,0.0,3000,attention_contact,0.0,1.0,0.0298130864747417,0.9000331012377907,0.15751783925621615,0.08751930417743017
C,0.0,0.0,3000,oracle_effect,1.0,0.0,0.9298461877125322,0.0,0.15751783925621615,0.513657530529067
C,0.0,0.25,3010,total_flow,0.0,1.0,0.03178956748691187,0.8058023699871748,0.3435058888604479,0.02778463074184173
C,0.0,0.25,3010,causal_residual,0.9091666666666667,0.013333333333333334,0.8221490723398861,0.015442865134200545,0.3435058888604479,0.5549330809013645
C,0.0,0.25,3010,attention_contact,0.0,1.0,0.02971943231241882,0.8078725051616678,0.3435058888604479,0.08695829299785768
C,0.0,0.25,3010,oracle_effect,0.91,0.006666666666666667,0.8375919374740867,0.0,0.3435058888604479,0.5126070537464387
C,0.0,0.5,3020,total_flow,0.0,1.0,0.031992384531147576,0.6794398090225442,0.37960417630049176,0.02810990121561586
C,0.0,0.5,3020,causal_residual,0.745,0.0475,0.688048702169965,0.023383491383726706,0.37960417630049176,0.5538708966405442
C,0.0,0.5,3020,attention_contact,0.0,1.0,0.02930640158279896,0.6821257919708927,0.37960417630049176,0.08778312838201016
C,0.0,0.5,3020,oracle_effect,0.7458333333333333,0.021666666666666667,0.7114321935536917,0.0,0.37960417630049176,0.5116062967507761
C,0.25,0.0,3002,total_flow,0.4375,0.5658333333333333,0.4594087247495018,0.47177220518724283,0.1515872705874073,0.027960360051785028
C,0.25,0.0,3002,causal_residual,0.9991666666666666,0.0008333333333333334,0.9152908685487978,0.015890061387946894,0.1515872705874073,0.6195038284984152
C,0.25,0.0,3002,attention_contact,0.5408333333333334,0.4608333333333333,0.5348910017142753,0.39628992822246933,0.1515872705874073,0.08741332796034179
C,0.25,0.0,3002,oracle_effect,1.0,0.0,0.9311809299367447,0.0,0.1515872705874073,0.5783735166356329
C,0.25,0.25,3012,total_flow,0.3383333333333333,0.635,0.3881657664262278,0.4748235981636924,0.2951329072319915,0.02789519342017607
C,0.25,0.25,3012,causal_residual,0.935,0.050833333333333335,0.8494793305566573,0.013510034033263034,0.2951329072319915,0.6205528737394737
C,0.25,0.25,3012,attention_contact,0.425,0.49416666666666664,0.44729557334210557,0.4156937912478147,0.2951329072319915,0.0868020070463121
C,0.25,0.25,3012,oracle_effect,0.9375,0.056666666666666664,0.8629893645899203,0.0,0.2951329072319915,0.5793962788618362
C,0.25,0.5,3022,total_flow,0.24916666666666668,0.6891666666666667,0.32633728823432795,0.4272117643481516,0.3165482465111945,0.027702429328127907
C,0.25,0.5,3022,causal_residual,0.765,0.15833333333333333,0.7336906287674942,0.019858423814985298,0.3165482465111945,0.6184402334064318
C,0.25,0.5,3022,attention_contact,0.29833333333333334,0.5483333333333333,0.35700210667787674,0.3965469459046029,0.3165482465111945,0.08683660955502412
C,0.25,0.5,3022,oracle_effect,0.7683333333333333,0.18333333333333332,0.7535490525824796,0.0,0.3165482465111945,0.5775674481192707
C,0.5,0.0,3005,total_flow,0.8941666666666667,0.10583333333333333,0.7877981079958346,0.1494554002720723,0.1590995417869735,0.027704415291113543
C,0.5,0.0,3005,causal_residual,1.0,0.0,0.9203591151999376,0.016894393067969377,0.1590995417869735,0.6839319177966542
C,0.5,0.0,3005,attention_contact,0.9291666666666667,0.07083333333333333,0.813900344724229,0.12335316354367788,0.1590995417869735,0.08721102674553617
C,0.5,0.0,3005,oracle_effect,1.0,0.0,0.9372535082679069,0.0,0.1590995417869735,0.643652902866972
C,0.5,0.25,3015,total_flow,0.7183333333333334,0.16583333333333333,0.6755550157108648,0.1959000124860401,0.26083590887178465,0.027868233169009507
C,0.5,0.25,3015,causal_residual,0.9291666666666667,0.06583333333333333,0.8559234005492024,0.015531627647702611,0.26083590887178465,0.6820718785961478
C,0.5,0.25,3015,attention_contact,0.7466666666666667,0.10916666666666666,0.6888079285819372,0.18264709961496772,0.26083590887178465,0.08692410388682535
C,0.5,0.25,3015,oracle_effect,0.9366666666666666,0.0625,0.871455028196905,0.0,0.26083590887178465,0.6418906913888485
C,0.5,0.5,3025,total_flow,0.53,0.23083333333333333,0.5454665856737152,0.2203589093593964,0.29451807561810084,0.027976629329894045
C,0.5,0.5,3025,causal_residual,0.7766666666666666,0.19333333333333333,0.7485063857869708,0.017319109246140763,0.29451807561810084,0.6856569545239531
C,0.5,0.5,3025,attention_contact,0.5508333333333333,0.12916666666666668,0.5511551218616582,0.21467037317145335,0.29451807561810084,0.0868395377425582
C,0.5,0.5,3025,oracle_effect,0.7841666666666667,0.21666666666666667,0.7658254950331116,0.0,0.29451807561810084,0.644737311415582
C,0.75,0.0,3007,total_flow,0.9958333333333333,0.004166666666666667,0.8640902121981465,0.06580591127864366,0.15566114008776136,0.02808013940742901
C,0.75,0.0,3007,causal_residual,1.0,0.0,0.9131727012890428,0.016723422187747458,0.15566114008776136,0.7495611522948953
C,0.75,0.0,3007,attention_contact,0.9958333333333333,0.004166666666666667,0.8634378729741293,0.0664582505026607,0.15566114008776136,0.08684203524055968
C,0.75,0.0,3007,oracle_effect,1.0,0.0,0.9298961234767901,0.0,0.15566114008776136,0.7094710483912497
C,0.75,0.25,3017,total_flow,0.8141666666666667,0.01,0.7393832326253128,0.1345614850514129,0.2592196665065505,0.027933410216956164
C,0.75,0.25,3017,causal_residual,0.94,0.060833333333333336,0.8603595870249608,0.013585130651764844,0.2592196665065505,0.7496792916055329
C,0.75,0.25,3017,attention_contact,0.8175,0.0016666666666666668,0.7403029854820368,0.13364173219468894,0.2592196665065505,0.08714642515909832
C,0.75,0.25,3017,oracle_effect,0.9475,0.0575,0.8739447176767258,0.0,0.2592196665065505,0.7090823629599419
C,0.75,0.5,3027,total_flow,0.605,0.025,0.5964416604675329,0.17089049369676318,0.2834409131927098,0.027892614482901378
C,0.75,0.5,3027,causal_residual,0.7641666666666667,0.2325,0.749195625623102,0.01813652854119406,0.2834409131927098,0.7520025810021822
C,0.75,0.5,3027,attention_contact,0.6116666666666667,0.005,0.5989183716500663,0.16841378251422973,0.2834409131927098,0.08723410111825418
C,0.75,0.5,3027,oracle_effect,0.7758333333333334,0.23666666666666666,0.7673321541642961,0.0,0.2834409131927098,0.7117422827303683
C,1.0,0.0,3010,total_flow,1.0,0.0,0.8881596324427581,0.045095957170675806,0.15511497939693766,0.02786622572075938
C,1.0,0.0,3010,causal_residual,0.9991666666666666,0.0016666666666666668,0.9191424918086973,0.014113097804736444,0.15511497939693766,0.8164856634886919
C,1.0,0.0,3010,attention_contact,1.0,0.0,0.8871036978153389,0.04615189179809495,0.15511497939693766,0.0865320141999317
C,1.0,0.0,3010,oracle_effect,1.0,0.0,0.933255589613434,0.0,0.15511497939693766,0.7767498836775845
C,1.0,0.25,3020,total_flow,0.8991666666666667,0.0,0.8023330114673357,0.06935226058367557,0.257273830676889,0.028003068876041735
C,1.0,0.25,3020,causal_residual,0.9341666666666667,0.06666666666666667,0.8555747582976427,0.01611051375336855,0.257273830676889,0.8155351566652581
C,1.0,0.25,3020,attention_contact,0.9,0.0,0.8054510338404577,0.06623423821055358,0.257273830676889,0.0874665465169075
C,1.0,0.25,3020,oracle_effect,0.94,0.06416666666666666,0.8716852720510114,0.0,0.257273830676889,0.7755405551147679
C,1.0,0.5,3030,total_flow,0.7041666666666667,0.0,0.66736808451131,0.10219076937366267,0.2687713492127064,0.027899204709211603
C,1.0,0.5,3030,causal_residual,0.7491666666666666,0.25083333333333335,0.7505064605998245,0.019052393285148364,0.2687713492127064,0.8175463467117166
C,1.0,0.5,3030,attention_contact,0.6966666666666667,0.0,0.6617032567201225,0.10785559716485023,0.2687713492127064,0.08707152903303164
C,1.0,0.5,3030,oracle_effect,0.7658333333333334,0.24666666666666667,0.7695588538849728,0.0,0.2687713492127064,0.7777084026593116
C,0.0,0.0,3100,total_flow,0.0,1.0,0.03206488752746705,0.9005832610631453,0.15456877117053747,0.02796447597070403
C,0.0,0.0,3100,causal_residual,1.0,0.0,0.9139503307831016,0.018697817807510942,0.15456877117053747,0.5552886459517049
C,0.0,0.0,3100,attention_contact,0.0,1.0,0.02874183448866058,0.9039063141019521,0.15456877117053747,0.08726798658835395
C,0.0,0.0,3100,oracle_effect,1.0,0.0,0.9326481485906125,0.0,0.15456877117053747,0.512323464674174
C,0.0,0.25,3110,total_flow,0.0,1.0,0.0377263800715817,0.828081533778063,0.3560147367294228,0.027893038798820543
C,0.0,0.25,3110,causal_residual,0.9458333333333333,0.01,0.8515311179038317,0.01427679594581303,0.3560147367294228,0.555864793186249
C,0.0,0.25,3110,attention_contact,0.0,1.0,0.03304012125718915,0.8327677925924555,0.3560147367294228,0.0871730046713335
C,0.0,0.25,3110,oracle_effect,0.9458333333333333,0.006666666666666667,0.8658079138496447,0.0,0.3560147367294228,0.5128433434429133
C,0.0,0.5,3120,total_flow,0.0,1.0,0.03441250722784968,0.6727575115198794,0.399597340629292,0.027884541128903907
C,0.0,0.5,3120,causal_residual,0.74,0.0575,0.6837633796837108,0.023406639064018322,0.399597340629292,0.5562670706778299
C,0.0,0.5,3120,attention_contact,0.0,1.0,0.03180322573580599,0.6753667930119231,0.399597340629292,0.08691151978947304
C,0.0,0.5,3120,oracle_effect,0.74,0.020833333333333332,0.707170018747729,0.0,0.399597340629292,0.5132714981317971
C,0.25,0.0,3102,total_flow,0.43916666666666665,0.5641666666666667,0.4623301842744278,0.4688226482590439,0.1563616219940864,0.02809547704180526
C,0.25,0.0,3102,causal_residual,1.0,0.0,0.9134777955599613,0.017675036973510333,0.1563616219940864,0.6177926115823226
C,0.25,0.0,3102,attention_contact,0.5416666666666666,0.46166666666666667,0.5349239626779112,0.39622886985556044,0.1563616219940864,0.08775474229636183
C,0.25,0.0,3102,oracle_effect,1.0,0.0,0.9311528325334716,0.0,0.1563616219940864,0.5765245687586603
C,0.25,0.25,3112,total_flow,0.33666666666666667,0.625,0.40040020437881746,0.45956395523378396,0.29308986574579954,0.02789569468932027
C,0.25,0.25,3112,causal_residual,0.9216666666666666,0.06333333333333334,0.8469643340796107,0.012999825532990743,0.29308986574579954,0.6205739666571062
C,0.25,0.25,3112,attention_contact,0.41833333333333333,0.49916666666666665,0.45737403768613166,0.40259012192646976,0.29308986574579954,0.08664098625420599
C,0.25,0.25,3112,oracle_effect,0.9216666666666666,0.0675,0.8599641596126014,0.0,0.29308986574579954,0.5791605909181905
C,0.25,0.5,3122,total_flow,0.22583333333333333,0.705,0.32801054515154343,0.4186118350565602,0.31965807808362917,0.02776818913845574
C,0.25,0.5,3122,causal_residual,0.7491666666666666,0.17416666666666666,0.7269494783634795,0.019672901844624356,0.31965807808362917,0.6188404466505908
C,0.25,0.5,3122,attention_contact,0.28583333333333333,0.5566666666666666,0.3621645683419205,0.3844578118661831,0.31965807808362917,0.08737896613771351
C,0.25,0.5,3122,oracle_effect,0.7516666666666667,0.20916666666666667,0.7466223802081037,0.0,0.31965807808362917,0.5772849724338323
C,0.5,0.0,3105,total_flow,0.8791666666666667,0.12166666666666667,0.7809548532258214,0.14680749856091724,0.1518142824993179,0.02799449503686221
C,0.5,0.0,3105,causal_residual,1.0,0.0,0.9114623120650583,0.016300039721680284,0.1518142824993179,0.6822383662253465
C,0.5,0.0,3105,attention_contact,0.91,0.09083333333333334,0.7998918098357505,0.1278705419509881,0.1518142824993179,0.08746728455414984
C,0.5,0.0,3105,oracle_effect,1.0,0.0,0.9277623517867386,0.0,0.1518142824993179,0.6418092807778625
C,0.5,0.25,3115,total_flow,0.6983333333333334,0.17666666666666667,0.6603573230050082,0.20649838815675964,0.2659155208273066,0.028244615198541663
C,0.5,0.25,3115,causal_residual,0.9391666666666667,0.055,0.8542506784301906,0.01260503273157704,0.2659155208273066,0.6860564073279749
C,0.5,0.25,3115,attention_contact,0.725,0.10916666666666666,0.6756300954939305,0.19122561566783722,0.2659155208273066,0.08701846684502414
C,0.5,0.25,3115,oracle_effect,0.9425,0.058333333333333334,0.8668557111617679,0.0,0.2659155208273066,0.6448535357966764
C,0.5,0.5,3125,total_flow,0.4708333333333333,0.24083333333333334,0.5124574178245981,0.23482837391757574,0.2831401347050701,0.02788906711428485
C,0.5,0.5,3125,causal_residual,0.7291666666666666,0.2475,0.7310291839669767,0.016256607775197156,0.2831401347050701,0.6810980680460639
