family,field,seed,method,success_rate,distractor_rate,mean_progress,regret,ranking_margin,endpoint_error
D,none,4000,total_flow,0.0,1.0,0.04034199917224901,0.8893986772622517,0.15394159741529692,0.027940643234491674
D,none,4000,global_removed,0.0,1.0,0.04034199917224901,0.8893986772622517,0.15394159741529692,0.39452504229238056
D,none,4000,causal_residual,1.0,0.0,0.9133632012566073,0.01637747517789347,0.15394159741529692,0.4144984596232522
D,none,4000,oracle_effect,1.0,0.0,0.9297406764345006,0.0,0.15394159741529692,0.3703336251040529
D,conveyor,4001,total_flow,0.0,1.0,0.03947248227994685,0.8917600197075425,0.15368827866673487,0.027981648317155904
D,conveyor,4001,global_removed,0.0,1.0,0.03947248227994685,0.8917600197075425,0.15368827866673487,1.1943032059133778
D,conveyor,4001,causal_residual,1.0,0.0,0.9150911744272605,0.01614132756022875,0.15368827866673487,1.1442933000123983
D,conveyor,4001,oracle_effect,1.0,0.0,0.9312325019874892,0.0,0.15368827866673487,1.1444721249770071
D,ego_motion,4002,total_flow,0.0,1.0,0.042238369390025864,0.8903741019583074,0.15688473878500714,0.027888921080392384
D,ego_motion,4002,global_removed,0.0,1.0,0.042238369390025864,0.8903741019583074,0.15688473878500714,1.5934824179427847
D,ego_motion,4002,causal_residual,1.0,0.0,0.9159670446052541,0.01664542674307912,0.15688473878500714,1.5435375113308087
D,ego_motion,4002,oracle_effect,1.0,0.0,0.9326124713483331,0.0,0.15688473878500714,1.5434454830487656
D,smooth_local,4003,total_flow,0.0007142857142857143,0.9992857142857143,0.024168256911845022,0.9112125905571106,0.15967451837592606,0.028078738820533772
D,smooth_local,4003,global_removed,0.0007142857142857143,0.9992857142857143,0.024168256911845022,0.9112125905571106,0.15967451837592606,1.5941602337350442
D,smooth_local,4003,causal_residual,1.0,0.0,0.9204298447605751,0.014951002708380616,0.15967451837592606,1.5444681690252935
D,smooth_local,4003,oracle_effect,1.0,0.0,0.9353808474689556,0.0,0.15967451837592606,1.5441258944676526
D,none,4020,total_flow,0.0,1.0,0.04613417878874531,0.8857228552416404,0.15169679515186113,0.027877340450629274
D,none,4020,global_removed,0.0,1.0,0.04613417878874531,0.8857228552416404,0.15169679515186113,0.39455497114123966
D,none,4020,causal_residual,1.0,0.0,0.9143303188340828,0.01752671519630306,0.15169679515186113,0.4138296352795987
D,none,4020,oracle_effect,1.0,0.0,0.9318570340303857,0.0,0.15169679515186113,0.37014721748556567
D,conveyor,4021,total_flow,0.0,1.0,0.04230275891639438,0.8894163843019686,0.155237452659457,0.027846665784853945
D,conveyor,4021,global_removed,0.0,1.0,0.04230275891639438,0.8894163843019686,0.155237452659457,1.1950950398430527
D,conveyor,4021,causal_residual,1.0,0.0,0.915377661184513,0.01634148203384988,0.155237452659457,1.144287405539504
